Image_Id,image_path,mask_path
332,benign (322).png,benign (322)_mask.png
250,benign (10).png,benign (10)_mask.png
209,benign (308).png,benign (308)_mask.png
266,benign (325).png,benign (325)_mask.png
31,benign (223).png,benign (223)_mask.png
252,benign (127).png,benign (127)_mask.png
440,malignant (26).png,malignant (26)_mask.png
142,benign (311).png,benign (311)_mask.png
532,malignant (164).png,malignant (164)_mask.png
577,malignant (51).png,malignant (51)_mask.png
73,benign (330).png,benign (330)_mask.png
612,malignant (78).png,malignant (78)_mask.png
621,malignant (84).png,malignant (84)_mask.png
639,malignant (139).png,malignant (139)_mask.png
333,benign (426).png,benign (426)_mask.png
53,benign (182).png,benign (182)_mask.png
526,malignant (9).png,malignant (9)_mask.png
423,benign (282).png,benign (282)_mask.png
185,benign (335).png,benign (335)_mask.png
136,benign (123).png,benign (123)_mask.png
3,benign (318).png,benign (318)_mask.png
235,benign (363).png,benign (363)_mask.png
576,malignant (206).png,malignant (206)_mask.png
68,benign (206).png,benign (206)_mask.png
520,malignant (100).png,malignant (100)_mask.png
349,benign (62).png,benign (62)_mask.png
558,malignant (198).png,malignant (198)_mask.png
380,benign (76).png,benign (76)_mask.png
111,benign (339).png,benign (339)_mask.png
517,malignant (155).png,malignant (155)_mask.png
275,benign (300).png,benign (300)_mask.png
168,benign (93).png,benign (93)_mask.png
414,benign (152).png,benign (152)_mask.png
224,benign (174).png,benign (174)_mask.png
389,benign (65).png,benign (65)_mask.png
448,malignant (13).png,malignant (13)_mask.png
148,benign (207).png,benign (207)_mask.png
599,malignant (117).png,malignant (117)_mask.png
490,malignant (137).png,malignant (137)_mask.png
578,malignant (59).png,malignant (59)_mask.png
606,malignant (80).png,malignant (80)_mask.png
324,benign (38).png,benign (38)_mask.png
61,benign (357).png,benign (357)_mask.png
238,benign (70).png,benign (70)_mask.png
368,benign (214).png,benign (214)_mask.png
274,benign (379).png,benign (379)_mask.png
233,benign (80).png,benign (80)_mask.png
354,benign (204).png,benign (204)_mask.png
34,benign (355).png,benign (355)_mask.png
290,benign (81).png,benign (81)_mask.png
646,malignant (71).png,malignant (71)_mask.png
486,malignant (52).png,malignant (52)_mask.png
2,benign (176).png,benign (176)_mask.png
512,malignant (69).png,malignant (69)_mask.png
365,benign (381).png,benign (381)_mask.png
182,benign (145).png,benign (145)_mask.png
113,benign (378).png,benign (378)_mask.png
157,benign (245).png,benign (245)_mask.png
582,malignant (115).png,malignant (115)_mask.png
11,benign (2).png,benign (2)_mask.png
424,benign (274).png,benign (274)_mask.png
134,benign (68).png,benign (68)_mask.png
117,benign (61).png,benign (61)_mask.png
280,benign (384).png,benign (384)_mask.png
376,benign (386).png,benign (386)_mask.png
409,benign (118).png,benign (118)_mask.png
522,malignant (171).png,malignant (171)_mask.png
212,benign (375).png,benign (375)_mask.png
355,benign (341).png,benign (341)_mask.png
276,benign (60).png,benign (60)_mask.png
273,benign (122).png,benign (122)_mask.png
422,benign (147).png,benign (147)_mask.png
447,malignant (162).png,malignant (162)_mask.png
121,benign (268).png,benign (268)_mask.png
325,benign (132).png,benign (132)_mask.png
470,malignant (10).png,malignant (10)_mask.png
220,benign (1).png,benign (1)_mask.png
7,benign (116).png,benign (116)_mask.png
27,benign (45).png,benign (45)_mask.png
590,malignant (177).png,malignant (177)_mask.png
