Image_Id,image_path,mask_path
0,cju34uhepd3dd0799hs8782ad.png,cju34uhepd3dd0799hs8782ad.png
1,cju8432cmkgq90871cxe4iptl.png,cju8432cmkgq90871cxe4iptl.png
2,244.png,244.png
3,cju30bmab08bi0835mvlr6e0r.png,cju30bmab08bi0835mvlr6e0r.png
4,cju7d7tly27h408016fyp5nr7.png,cju7d7tly27h408016fyp5nr7.png
5,331.png,331.png
6,cju7dubap2g0w0801fgl42mg9.png,cju7dubap2g0w0801fgl42mg9.png
7,cju8bw697rwg308177tg8huas.png,cju8bw697rwg308177tg8huas.png
8,cju1dia8hvc6v098827mgffnm.png,cju1dia8hvc6v098827mgffnm.png
9,cju893jmdompz0817xn3g1w4h.png,cju893jmdompz0817xn3g1w4h.png
10,cju3128yi0rpu0988o4oo5n8n.png,cju3128yi0rpu0988o4oo5n8n.png
11,cju3518w2d838079939fqztbc.png,cju3518w2d838079939fqztbc.png
12,cju5chrxxawka0871qcj171yz.png,cju5chrxxawka0871qcj171yz.png
13,cju5ymyd8mmdc0801ry3by1xr.png,cju5ymyd8mmdc0801ry3by1xr.png
14,cju8at3s1qqqx0850hcq8nmnq.png,cju8at3s1qqqx0850hcq8nmnq.png
15,cju1hs0za7jha0855vj0mdrjt.png,cju1hs0za7jha0855vj0mdrjt.png
16,408.png,408.png
17,cju334jzo261t0835yqudnfs1.png,cju334jzo261t0835yqudnfs1.png
18,cju843yjskhq30818qre4rwm2.png,cju843yjskhq30818qre4rwm2.png
19,cju5y84q3mdv50817eyp82xf3.png,cju5y84q3mdv50817eyp82xf3.png
20,149.png,149.png
21,580.png,580.png
22,394.png,394.png
23,cju17x0j4nfc10993y31pvlgs.png,cju17x0j4nfc10993y31pvlgs.png
24,342.png,342.png
25,cju412uwlkva50850d1ps1ww7.png,cju412uwlkva50850d1ps1ww7.png
26,cju8b8yair65w09878pyqtr96.png,cju8b8yair65w09878pyqtr96.png
27,cju5knbbqfipk080128cggukq.png,cju5knbbqfipk080128cggukq.png
28,cju2r6mt2om21099352pny5gw.png,cju2r6mt2om21099352pny5gw.png
29,cju7d4jk723eu0817bqz2n39m.png,cju7d4jk723eu0817bqz2n39m.png
30,58.png,58.png
31,242.png,242.png
32,cju45t5ddnbio0987qtqzx762.png,cju45t5ddnbio0987qtqzx762.png
33,cju2ti1du4idn0878giuozonw.png,cju2ti1du4idn0878giuozonw.png
34,cju76erapykj30871x5eaxh4q.png,cju76erapykj30871x5eaxh4q.png
35,513.png,513.png
36,cju2oo0wh0bqy0878biujeyhe.png,cju2oo0wh0bqy0878biujeyhe.png
37,cju83h9ysjwe808716nt35oah.png,cju83h9ysjwe808716nt35oah.png
38,cju303j5r062k098835zxfds5.png,cju303j5r062k098835zxfds5.png
39,cju18kevfrojc0835bn90f1in.png,cju18kevfrojc0835bn90f1in.png
40,535.png,535.png
41,cju2nsmwjlzyl0993jl80chvz.png,cju2nsmwjlzyl0993jl80chvz.png
42,289.png,289.png
43,cju88k75inzyb0850ccv5x3vk.png,cju88k75inzyb0850ccv5x3vk.png
44,cju5bwhapakm90987c1v4z46a.png,cju5bwhapakm90987c1v4z46a.png
45,cju83vvmik9wa08710yeh7cuk.png,cju83vvmik9wa08710yeh7cuk.png
46,cju8dic9mtppa0987swn23wbc.png,cju8dic9mtppa0987swn23wbc.png
47,cju5uget8krjy0818kvywd0zu.png,cju5uget8krjy0818kvywd0zu.png
48,186.png,186.png
49,493.png,493.png
50,215.png,215.png
51,cju175facms5f0993a5tjikvt.png,cju175facms5f0993a5tjikvt.png
52,cju5w7xn0lrkq0801f9k0htgx.png,cju5w7xn0lrkq0801f9k0htgx.png
53,cju6z7e4bwgdd0987ogkzq9kt.png,cju6z7e4bwgdd0987ogkzq9kt.png
54,cju1gi7jlwyld0835cdf6g6qz.png,cju1gi7jlwyld0835cdf6g6qz.png
55,cju8a1jtvpt9m081712iwkca7.png,cju8a1jtvpt9m081712iwkca7.png
56,cju83k8fyjsxr0817d6nxs6r4.png,cju83k8fyjsxr0817d6nxs6r4.png
57,454.png,454.png
58,173.png,173.png
59,cju7aklv31h4309871m29l4e7.png,cju7aklv31h4309871m29l4e7.png
60,182.png,182.png
61,301.png,301.png
62,cju2phaksnahz0993yxogjcpv.png,cju2phaksnahz0993yxogjcpv.png
63,cju30ywtc0oar0835bp2en7ec.png,cju30ywtc0oar0835bp2en7ec.png
64,136.png,136.png
65,cju17v6ih0u7808783zcbg1jy.png,cju17v6ih0u7808783zcbg1jy.png
66,cju160wshltz10993i1gmqxbe.png,cju160wshltz10993i1gmqxbe.png
67,cju84ih17kp5l09876bkooocl.png,cju84ih17kp5l09876bkooocl.png
68,cju5eyfe9cpk90987laa7tsl3.png,cju5eyfe9cpk90987laa7tsl3.png
69,140.png,140.png
70,359.png,359.png
71,184.png,184.png
72,263.png,263.png
73,cju85je7vlht70817c9jcjwi4.png,cju85je7vlht70817c9jcjwi4.png
74,520.png,520.png
75,118.png,118.png
76,241.png,241.png
77,cju8ca4geseia0850i2ru11hw.png,cju8ca4geseia0850i2ru11hw.png
78,cju7aqkue1i2k09879uzcpt8r.png,cju7aqkue1i2k09879uzcpt8r.png
79,cju7amjna1ly40871ugiokehb.png,cju7amjna1ly40871ugiokehb.png
80,85.png,85.png
81,cju2nd7l7z98o0799gfjvyfmw.png,cju2nd7l7z98o0799gfjvyfmw.png
82,516.png,516.png
83,cju7fmvpk2q170987v6i3ola8.png,cju7fmvpk2q170987v6i3ola8.png
84,475.png,475.png
85,cju6xlygpw7bs0818n691jsq4.png,cju6xlygpw7bs0818n691jsq4.png
86,318.png,318.png
87,cju3tvffffx5f0818t5ov22al.png,cju3tvffffx5f0818t5ov22al.png
88,cju2t3ibkuecr0835o7si16zv.png,cju2t3ibkuecr0835o7si16zv.png
89,511.png,511.png
